delta_x,delta_y
-0.03806296797952368,-0.6447352007635022
0.19526718056883285,-0.7316826235234214
0.1964810420416983,-0.6207696194231322
0.04803017834046639,-0.5947980304062851
-0.18400627426694666,-0.38225376033329
0.15204044823421062,-0.7113662851499706
0.2115311238683434,-0.7963810911290724
0.12185428873881055,-0.6690723216687229
-0.16052550417927713,-0.4676618085196928
-0.04795631402479456,-0.6861709594532786
0.06567584053972235,-0.7037087811447801
0.12260714429223482,-0.564936989395468
0.022827054642139917,-0.6843387909474673
0.08511442981785662,-0.9747658802035766
-0.21129452250424374,-0.5313993986524963
-0.006900676762828789,-0.6412938757694588
0.1376002970950316,-0.9322279771177684
0.13755679713961852,-0.7419456366810309
0.10960917737188172,-0.7984766349750981
0.3831438179091485,-0.7162689642277965
0.24953285164898525,-0.9580473175218754
0.3195374579365405,-0.7276585401784158
0.1781117526026781,-1.0044520898389333
0.06533768140458616,-1.0490654988966284
-0.08935807105127239,-1.2129936671441697
-0.2105937293443084,-0.7973816095004241
-0.04178287608218128,-0.9399234606326362
-0.21682944445371405,-0.9096574114889491
0.058089842583024465,-1.067352552764197
0.21176573031243015,-1.0524699081014974
-0.09728961190584184,-0.9298582569175644
-0.043033670296409636,-0.9100561035269678
-0.02052112096125808,-0.9556963229136334
-0.15267051634051276,-1.1498965640271912
-0.2190879921915379,-1.0529920290511767
-0.21977169307103256,-1.2222335166942433
-0.011689830618785795,-0.9827203488422959
0.178399259767359,-1.2590077137746989
-0.27020497528423115,-0.9160820090290278
-0.24092613140316896,-0.8113249542599512
-0.22639146765781434,-1.2488898992933402
0.11081097691947303,-1.1489414773135709
0.0392052836778803,-1.2258051759459525
-0.12064835625007887,-0.9507691160956722
0.004381842430095293,-1.0097952614387056
0.22490144216775024,-1.2006182929550908
0.0,0.0
0.15640775414327462,-0.10378260335257096
0.08078586138408181,0.04608238637942419
0.10283146354097664,-0.09430906333967257
0.013316924741445493,-0.12464208965491165
0.1518215688023597,-0.1982322248059461
0.2229975215778523,-0.2338653792910923
